Time,Open,High,Low,Close,Volume
01.02.2012 11:50:00.000,1.31300,1.31324,1.31279,1.31324,322.83
01.02.2012 11:51:00.000,1.31322,1.31329,1.31303,1.31326,290.41
01.02.2012 11:52:00.000,1.31326,1.31335,1.31317,1.31329,186.17
01.02.2012 11:53:00.000,1.31327,1.31331,1.31326,1.31327,191.01
01.02.2012 11:54:00.000,1.31327,1.31328,1.31321,1.31323,159.78
01.02.2012 11:55:00.000,1.31322,1.31337,1.31320,1.31335,200.94
01.02.2012 11:56:00.000,1.31334,1.31344,1.31325,1.31327,308.99
01.02.2012 11:57:00.000,1.31328,1.31333,1.31315,1.31319,247.04
01.02.2012 11:58:00.000,1.31319,1.31324,1.31281,1.31281,270.91
01.02.2012 11:59:00.000,1.31280,1.31285,1.31260,1.31275,279.93
01.02.2012 12:00:00.000,1.31276,1.31283,1.31227,1.31235,295.32
01.02.2012 12:01:00.000,1.31236,1.31243,1.31185,1.31204,290.73
01.02.2012 12:02:00.000,1.31204,1.31207,1.31175,1.31199,318.07
01.02.2012 12:03:00.000,1.31199,1.31206,1.31191,1.31194,245.11
01.02.2012 12:04:00.000,1.31194,1.31225,1.31194,1.31214,237.21
01.02.2012 12:05:00.000,1.31214,1.31221,1.31187,1.31214,237.38
01.02.2012 12:06:00.000,1.31214,1.31231,1.31203,1.31224,210.16
01.02.2012 12:07:00.000,1.31224,1.31231,1.31214,1.31231,189.54
01.02.2012 12:08:00.000,1.31231,1.31240,1.31220,1.31232,204.27
01.02.2012 12:09:00.000,1.31232,1.31236,1.31229,1.31235,147.49
01.02.2012 12:10:00.000,1.31235,1.31254,1.31231,1.31245,235.84
01.02.2012 12:11:00.000,1.31245,1.31249,1.31224,1.31246,322.58
01.02.2012 12:12:00.000,1.31245,1.31247,1.31224,1.31242,238.12
01.02.2012 12:13:00.000,1.31242,1.31250,1.31240,1.31247,111.91
01.02.2012 12:14:00.000,1.31248,1.31265,1.31248,1.31255,288.60
01.02.2012 12:15:00.000,1.31255,1.31277,1.31255,1.31277,206.75
01.02.2012 12:16:00.000,1.31277,1.31290,1.31268,1.31268,197.18
01.02.2012 12:17:00.000,1.31268,1.31287,1.31267,1.31276,238.50
01.02.2012 12:18:00.000,1.31277,1.31297,1.31275,1.31295,199.22
01.02.2012 12:19:00.000,1.31295,1.31328,1.31289,1.31305,339.51
01.02.2012 12:20:00.000,1.31306,1.31322,1.31273,1.31278,314.96
01.02.2012 12:21:00.000,1.31278,1.31340,1.31275,1.31340,265.33
01.02.2012 12:22:00.000,1.31342,1.31369,1.31332,1.31345,344.07
01.02.2012 12:23:00.000,1.31348,1.31361,1.31336,1.31346,361.90
01.02.2012 12:24:00.000,1.31346,1.31359,1.31329,1.31336,219.74
01.02.2012 12:25:00.000,1.31341,1.31355,1.31341,1.31349,219.00
01.02.2012 12:26:00.000,1.31349,1.31403,1.31349,1.31398,332.42
01.02.2012 12:27:00.000,1.31399,1.31440,1.31399,1.31437,360.64
01.02.2012 12:28:00.000,1.31437,1.31448,1.31413,1.31415,363.72
01.02.2012 12:29:00.000,1.31415,1.31478,1.31415,1.31476,366.18
01.02.2012 12:30:00.000,1.31476,1.31600,1.31458,1.31600,499.60
01.02.2012 12:31:00.000,1.31602,1.31713,1.31602,1.31712,501.86
01.02.2012 12:32:00.000,1.31716,1.31733,1.31684,1.31717,456.63
01.02.2012 12:33:00.000,1.31716,1.31753,1.31711,1.31731,380.63
01.02.2012 12:34:00.000,1.31731,1.31731,1.31698,1.31717,342.98
01.02.2012 12:35:00.000,1.31717,1.31829,1.31717,1.31827,396.96
01.02.2012 12:36:00.000,1.31829,1.31868,1.31829,1.31831,368.86
01.02.2012 12:37:00.000,1.31830,1.31838,1.31793,1.31801,346.45
01.02.2012 12:38:00.000,1.31799,1.31815,1.31770,1.31784,325.88
01.02.2012 12:39:00.000,1.31786,1.31842,1.31786,1.31815,345.47
01.02.2012 12:40:00.000,1.31821,1.31823,1.31780,1.31784,302.95
01.02.2012 12:41:00.000,1.31783,1.31810,1.31772,1.31800,261.83
01.02.2012 12:42:00.000,1.31799,1.31861,1.31796,1.31861,211.14
01.02.2012 12:43:00.000,1.31861,1.31866,1.31818,1.31862,323.61
01.02.2012 12:44:00.000,1.31863,1.31939,1.31851,1.31939,362.48
01.02.2012 12:45:00.000,1.31939,1.32005,1.31938,1.31970,366.10
01.02.2012 12:46:00.000,1.31977,1.31995,1.31947,1.31973,373.55
01.02.2012 12:47:00.000,1.31975,1.31985,1.31945,1.31945,295.28
01.02.2012 12:48:00.000,1.31944,1.31944,1.31900,1.31931,391.49
